activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,38792,[],CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,BAO_0000192,BAO_0000219,cell-based format,CC(C)CCn1cc2c(nc(NC(=O)Cc3ccccc3)n4nc(nc24)c5occc5)n1,,,CHEMBL1145112,J. Med. Chem.,2003.0,"{'bei': '16.87', 'le': '0.31', 'lle': '3.28', 'sei': '7.02'}",CHEMBL132806,,CHEMBL132806,7.24,False,http://www.openphacts.org/units/Nanomolar,261072,=,1,True,=,,Ki,nM,,57,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,57
,39908,[],CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,BAO_0000192,BAO_0000219,cell-based format,CC(C)CCn1cc2c(nc(NC(=O)Cc3cccc4ccccc34)n5nc(nc25)c6occc6)n1,,,CHEMBL1145112,J. Med. Chem.,2003.0,"{'bei': '15.38', 'le': '0.28', 'lle': '2.27', 'sei': '7.15'}",CHEMBL336217,,CHEMBL336217,7.38,False,http://www.openphacts.org/units/Nanomolar,261083,=,1,True,=,,Ki,nM,,42,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,42
,41114,[],CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,BAO_0000192,BAO_0000219,cell-based format,O=C(Cc1ccccc1)Nc2nc3nn(CCCc4ccccc4)cc3c5nc(nn25)c6occc6,,,CHEMBL1145112,J. Med. Chem.,2003.0,"{'bei': '15.12', 'le': '0.27', 'lle': '2.67', 'sei': '7'}",CHEMBL134566,,CHEMBL134566,7.22,False,http://www.openphacts.org/units/Nanomolar,261074,=,1,True,=,,Ki,nM,,60,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,60
,41122,[],CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,BAO_0000192,BAO_0000219,cell-based format,CC(C)CCn1cc2c(nc(NC(=O)COc3ccccc3)n4nc(nc24)c5occc5)n1,,,CHEMBL1145112,J. Med. Chem.,2003.0,"{'bei': '16.66', 'le': '0.31', 'lle': '3.62', 'sei': '6.6'}",CHEMBL435022,,CHEMBL435022,7.42,False,http://www.openphacts.org/units/Nanomolar,261080,=,1,True,=,,Ki,nM,,38,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,38
,41130,[],CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,BAO_0000192,BAO_0000219,cell-based format,Cn1cc2c(nc(NC(=O)Cc3ccccc3)n4nc(nc24)c5occc5)n1,,,CHEMBL1145112,J. Med. Chem.,2003.0,"{'bei': '17.07', 'le': '0.31', 'lle': '3.92', 'sei': '6.18'}",CHEMBL341376,,CHEMBL341376,6.37,True,http://www.openphacts.org/units/Nanomolar,261076,=,1,True,=,,Ki,nM,,423,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,423
,44701,[],CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,BAO_0000192,BAO_0000219,cell-based format,O=C(COc1ccccc1)Nc2nc3nn(CCCc4ccccc4)cc3c5nc(nn25)c6occc6,,,CHEMBL1145112,J. Med. Chem.,2003.0,"{'bei': '14.89', 'le': '0.27', 'lle': '2.97', 'sei': '6.54'}",CHEMBL138593,,CHEMBL138593,7.35,False,http://www.openphacts.org/units/Nanomolar,261078,=,1,True,=,,Ki,nM,,45,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,45
,44709,[],CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,BAO_0000192,BAO_0000219,cell-based format,Cn1cc2c(nc(NC(=O)Nc3ccccc3)n4nc(nc24)c5occc5)n1,,,CHEMBL1145112,J. Med. Chem.,2003.0,"{'bei': '17.15', 'le': '0.31', 'lle': '3.5', 'sei': '5.57'}",CHEMBL324735,,CHEMBL324735,6.42,True,http://www.openphacts.org/units/Nanomolar,261077,=,1,True,=,,Ki,nM,,381,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,381
,54814,[],CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,BAO_0000192,BAO_0000219,cell-based format,Nc1nc2nn(CCc3ccccc3)cc2c4nc(nn14)c5occc5,,,CHEMBL1145112,J. Med. Chem.,2003.0,"{'bei': '27.53', 'le': '0.5', 'lle': '6.95', 'sei': '9.5'}",CHEMBL16867,,CHEMBL16867,9.51,False,http://www.openphacts.org/units/Nanomolar,261075,=,1,True,=,,Ki,nM,,0.31,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,0.31
,59775,[],CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,BAO_0000192,BAO_0000219,cell-based format,O=C(Cc1cccc2ccccc12)Nc3nc4nn(CCCc5ccccc5)cc4c6nc(nn36)c7occc7,,,CHEMBL1145112,J. Med. Chem.,2003.0,"{'bei': '11.56', 'le': '0.21', 'lle': '0.4', 'sei': '5.91'}",CHEMBL335950,,CHEMBL335950,6.1,False,http://www.openphacts.org/units/Nanomolar,261081,=,1,True,=,,Ki,nM,,800,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,800
,61247,[],CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,BAO_0000192,BAO_0000219,cell-based format,O=C(Cc1ccccc1)Nc2nc3nn(CCc4ccccc4)cc3c5nc(nn25)c6occc6,,,CHEMBL1145112,J. Med. Chem.,2003.0,"{'bei': '15.58', 'le': '0.28', 'lle': '3.06', 'sei': '7'}",CHEMBL541455,,CHEMBL541455,7.22,False,http://www.openphacts.org/units/Nanomolar,261073,=,1,True,=,,Ki,nM,,60,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,60
,67380,[],CHEMBL649782,Binding affinity for human Adenosine A2A receptor from HEK293 cells,B,BAO_0000192,BAO_0000219,cell-based format,Nc1nc2ccc(Cl)cc2c3nc(nn13)c4occc4,,,CHEMBL1129441,J. Med. Chem.,1996.0,"{'bei': '30.7', 'le': '0.6', 'lle': '6', 'sei': '10.66'}",CHEMBL16687,CGS-15943,CHEMBL16687,8.77,False,http://www.openphacts.org/units/Nanomolar,254719,=,1,True,=,,Ki,nM,,1.7,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,uM,UO_0000065,,0.0017
,68972,[],CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,BAO_0000192,BAO_0000219,cell-based format,O=C(COc1ccccc1)Nc2nc3nn(CCc4ccccc4)cc3c5nc(nn25)c6occc6,,,CHEMBL1145112,J. Med. Chem.,2003.0,"{'bei': '15.43', 'le': '0.28', 'lle': '3.41', 'sei': '6.58'}",CHEMBL341777,,CHEMBL341777,7.4,False,http://www.openphacts.org/units/Nanomolar,261079,=,1,True,=,,Ki,nM,,40,CHEMBL251,Homo sapiens,Adenosine A2a receptor,9606,,,Ki,nM,UO_0000065,,40
