From     to
GPR160   GP160_HUMAN
GPRC5A   RAI3_HUMAN
FFAR2    FFAR2_HUMAN
HRH4     HRH4_HUMAN
HRH3     HRH3_HUMAN
GPR174   GP174_HUMAN
RXFP4    RL3R2_HUMAN
GPER1    GPER1_HUMAN
RXFP3    RL3R1_HUMAN
GPR148   GP148_HUMAN
GPRC6A   GPC6A_HUMAN
VN1R2    VN1R2_HUMAN
VN1R4    VN1R4_HUMAN
CYSLTR2  CLTR2_HUMAN
GPBAR1   GPBAR_HUMAN
GPR62    GPR62_HUMAN
OXGR1    OXGR1_HUMAN
VN1R1    VN1R1_HUMAN
VN1R5    VN1R5_HUMAN
GPR32P1  G32P1_HUMAN
GPR151   GP151_HUMAN
VN1R17P  VNRL4_HUMAN
MRGPRE   MRGRE_HUMAN
RLN3     REL3_HUMAN
GIPR     GIPR_HUMAN
HTR1A    5HT1A_HUMAN
HTR1B    5HT1B_HUMAN
HTR1D    5HT1D_HUMAN
HTR1E    5HT1E_HUMAN
HTR1F    5HT1F_HUMAN
HTR2A    5HT2A_HUMAN
HTR2B    5HT2B_HUMAN
HTR2C    5HT2C_HUMAN
HTR5A    5HT5A_HUMAN
HTR4     5HT4R_HUMAN
HTR6     5HT6R_HUMAN
HTR7     5HT7R_HUMAN
APP      A4_HUMAN
ADORA1   AA1R_HUMAN
ADORA2A  AA2AR_HUMAN
ADORA3   AA3R_HUMAN
ADORA2B  AA2BR_HUMAN
ACKR1    ACKR1_HUMAN
ACKR2    ACKR2_HUMAN
ACKR3    ACKR3_HUMAN
ACKR4    ACKR4_HUMAN
CHRM1    ACM1_HUMAN
CHRM2    ACM2_HUMAN
CHRM3    ACM3_HUMAN
CHRM4    ACM4_HUMAN
CHRM5    ACM5_HUMAN
MC2R     ACTHR_HUMAN
ADRA1A   ADA1A_HUMAN
ADRA1B   ADA1B_HUMAN
ADRA1D   ADA1D_HUMAN
ADRA2A   ADA2A_HUMAN
ADRA2B   ADA2B_HUMAN
ADRA2C   ADA2C_HUMAN
ADRB1    ADRB1_HUMAN
ADRB2    ADRB2_HUMAN
ADRB3    ADRB3_HUMAN
ADGRA1   AGRA1_HUMAN
ADGRA3   AGRA3_HUMAN
ADGRB2   AGRB2_HUMAN
ADGRB3   AGRB3_HUMAN
ADGRD2   AGRD2_HUMAN
ADGRE1   AGRE1_HUMAN
ADGRD1   AGRD1_HUMAN
ADGRE2   AGRE2_HUMAN
ADGRE3   AGRE3_HUMAN
ADGRF1   AGRF1_HUMAN
ADGRF2   AGRF2_HUMAN
ADGRE4P  AGRE4_HUMAN
ADGRF3   AGRF3_HUMAN
ADGRF4   AGRF4_HUMAN
ADGRF5   AGRF5_HUMAN
ADGRG2   AGRG2_HUMAN
ADGRG3   AGRG3_HUMAN
ADGRG5   AGRG5_HUMAN
ADGRG4   AGRG4_HUMAN
ADGRG7   AGRG7_HUMAN
ADGRL1   AGRL1_HUMAN
ADGRL2   AGRL2_HUMAN
ADGRL4   AGRL4_HUMAN
AGTR1    AGTR1_HUMAN
AGTR2    AGTR2_HUMAN
ANKRD13A AN13A_HUMAN
ANKRD13B AN13B_HUMAN
ANKRD13D AN13D_HUMAN
ANKRD13C AN13C_HUMAN
APLNR    APJ_HUMAN
GRK2     ARBK1_HUMAN
GRK3     ARBK2_HUMAN
ARRB1    ARRB1_HUMAN
ARRB2    ARRB2_HUMAN
ADGRB1   BAI1_HUMAN
BDKRB1   BKRB1_HUMAN
BDKRB2   BKRB2_HUMAN
BRS3     BRS3_HUMAN
C1QTNF1  C1QT1_HUMAN
C3AR1    C3AR_HUMAN
C5AR1    C5AR1_HUMAN
C5AR2    C5AR2_HUMAN
CALCR    CALCR_HUMAN
CALCRL   CALRL_HUMAN
CASR     CASR_HUMAN
CCKAR    CCKAR_HUMAN
CCR10    CCR10_HUMAN
CCR1     CCR1_HUMAN
CCR2     CCR2_HUMAN
CCR4     CCR4_HUMAN
CCR3     CCR3_HUMAN
CCR5     CCR5_HUMAN
CCR6     CCR6_HUMAN
CCR8     CCR8_HUMAN
CCR9     CCR9_HUMAN
CCRL2    CCRL2_HUMAN
CCR7     CCR7_HUMAN
CD81     CD81_HUMAN
CD97     CD97_HUMAN
CELSR1   CELR1_HUMAN
CELSR2   CELR2_HUMAN
CELSR3   CELR3_HUMAN
CYSLTR1  CLTR1_HUMAN
CMKLR1   CML1_HUMAN
CNIH4    CNIH4_HUMAN
CNR1     CNR1_HUMAN
CNR2     CNR2_HUMAN
CREB1    CREB1_HUMAN
CRHR1    CRFR1_HUMAN
CRHR2    CRFR2_HUMAN
CRY1     CRY1_HUMAN
CX3CR1   CX3C1_HUMAN
CXCR1    CXCR1_HUMAN
CXCR2    CXCR2_HUMAN
CXCR3    CXCR3_HUMAN
CXCR4    CXCR4_HUMAN
CXCR5    CXCR5_HUMAN
CXCR6    CXCR6_HUMAN
DRD1     DRD1_HUMAN
DRD3     DRD3_HUMAN
DRD2     DRD2_HUMAN
DRD5     DRD5_HUMAN
DRD4     DRD4_HUMAN
EDNRB    EDNRB_HUMAN
EDNRA    EDNRA_HUMAN
GPR37L1  ETBR2_HUMAN
PTK2     FAK1_HUMAN
PTK2B    FAK2_HUMAN
FFAR1    FFAR1_HUMAN
FFAR3    FFAR3_HUMAN
FFAR4    FFAR4_HUMAN
FPR2     FPR2_HUMAN
FPR1     FPR1_HUMAN
FPR3     FPR3_HUMAN
FSHR     FSHR_HUMAN
