Q9UJ42	GP160_HUMAN
Q8NFJ5	RAI3_HUMAN
O15552	FFAR2_HUMAN
Q9H3N8	HRH4_HUMAN
Q9Y5N1	HRH3_HUMAN
Q9BXC1	GP174_HUMAN
Q8TDU9	RL3R2_HUMAN
Q99527	GPER1_HUMAN
Q9NSD7	RL3R1_HUMAN
Q8TDV2	GP148_HUMAN
Q5T6X5	GPC6A_HUMAN
Q8NFZ6	VN1R2_HUMAN
Q7Z5H5	VN1R4_HUMAN
Q9NS75	CLTR2_HUMAN
Q8TDU6	GPBAR_HUMAN
Q9BZJ7	GPR62_HUMAN
Q96P68	OXGR1_HUMAN
Q9GZP7	VN1R1_HUMAN
Q7Z5H4	VN1R5_HUMAN
Q8NGA4	G32P1_HUMAN
Q8TDV0	GP151_HUMAN
Q8TDU5	VNRL4_HUMAN
Q86SM8	MRGRE_HUMAN
Q8WXF3	REL3_HUMAN
P48546	GIPR_HUMAN
P08908	5HT1A_HUMAN
P28222	5HT1B_HUMAN
P28221	5HT1D_HUMAN
P28566	5HT1E_HUMAN
P30939	5HT1F_HUMAN
P28223	5HT2A_HUMAN
P41595	5HT2B_HUMAN
P28335	5HT2C_HUMAN
P47898	5HT5A_HUMAN
Q13639	5HT4R_HUMAN
P50406	5HT6R_HUMAN
P34969	5HT7R_HUMAN
P05067	A4_HUMAN
P30542	AA1R_HUMAN
P29274	AA2AR_HUMAN
P0DMS8	AA3R_HUMAN
P29275	AA2BR_HUMAN
Q16570	ACKR1_HUMAN
O00590	ACKR2_HUMAN
P25106	ACKR3_HUMAN
Q9NPB9	ACKR4_HUMAN
P11229	ACM1_HUMAN
P08172	ACM2_HUMAN
P20309	ACM3_HUMAN
P08173	ACM4_HUMAN
P08912	ACM5_HUMAN
Q01718	ACTHR_HUMAN
P35348	ADA1A_HUMAN
P35368	ADA1B_HUMAN
P25100	ADA1D_HUMAN
P08913	ADA2A_HUMAN
P18089	ADA2B_HUMAN
P18825	ADA2C_HUMAN
P08588	ADRB1_HUMAN
P07550	ADRB2_HUMAN
P13945	ADRB3_HUMAN
Q86SQ6	AGRA1_HUMAN
Q8IWK6	AGRA3_HUMAN
O60241	AGRB2_HUMAN
O60242	AGRB3_HUMAN
Q7Z7M1	AGRD2_HUMAN
Q14246	AGRE1_HUMAN
Q6QNK2	AGRD1_HUMAN
Q9UHX3	AGRE2_HUMAN
Q9BY15	AGRE3_HUMAN
Q5T601	AGRF1_HUMAN
Q8IZF7	AGRF2_HUMAN
Q86SQ3	AGRE4_HUMAN
Q8IZF5	AGRF3_HUMAN
Q8IZF3	AGRF4_HUMAN
Q8IZF2	AGRF5_HUMAN
Q8IZP9	AGRG2_HUMAN
Q86Y34	AGRG3_HUMAN
Q8IZF4	AGRG5_HUMAN
Q8IZF6	AGRG4_HUMAN
Q96K78	AGRG7_HUMAN
O94910	AGRL1_HUMAN
O95490	AGRL2_HUMAN
Q9HBW9	AGRL4_HUMAN
P30556	AGTR1_HUMAN
P50052	AGTR2_HUMAN
Q8IZ07	AN13A_HUMAN
Q86YJ7	AN13B_HUMAN
Q6ZTN6	AN13D_HUMAN
Q8N6S4	AN13C_HUMAN
P35414	APJ_HUMAN
P25098	ARBK1_HUMAN
P35626	ARBK2_HUMAN
P49407	ARRB1_HUMAN
P32121	ARRB2_HUMAN
O14514	BAI1_HUMAN
P46663	BKRB1_HUMAN
P30411	BKRB2_HUMAN
P32247	BRS3_HUMAN
Q9BXJ1	C1QT1_HUMAN
Q16581	C3AR_HUMAN
P21730	C5AR1_HUMAN
Q9P296	C5AR2_HUMAN
P30988	CALCR_HUMAN
Q16602	CALRL_HUMAN
P41180	CASR_HUMAN
P32238	CCKAR_HUMAN
P46092	CCR10_HUMAN
P32246	CCR1_HUMAN
P41597	CCR2_HUMAN
P51679	CCR4_HUMAN
P51677	CCR3_HUMAN
P51681	CCR5_HUMAN
P51684	CCR6_HUMAN
P51685	CCR8_HUMAN
P51686	CCR9_HUMAN
O00421	CCRL2_HUMAN
P32248	CCR7_HUMAN
P60033	CD81_HUMAN
P48960	CD97_HUMAN
Q9NYQ6	CELR1_HUMAN
Q9HCU4	CELR2_HUMAN
Q9NYQ7	CELR3_HUMAN
Q9Y271	CLTR1_HUMAN
Q99788	CML1_HUMAN
Q9P003	CNIH4_HUMAN
P21554	CNR1_HUMAN
P34972	CNR2_HUMAN
P16220	CREB1_HUMAN
P34998	CRFR1_HUMAN
Q13324	CRFR2_HUMAN
Q16526	CRY1_HUMAN
P49238	CX3C1_HUMAN
P25024	CXCR1_HUMAN
P25025	CXCR2_HUMAN
P49682	CXCR3_HUMAN
P61073	CXCR4_HUMAN
P32302	CXCR5_HUMAN
O00574	CXCR6_HUMAN
P21728	DRD1_HUMAN
P35462	DRD3_HUMAN
P14416	DRD2_HUMAN
P21918	DRD5_HUMAN
P21917	DRD4_HUMAN
P24530	EDNRB_HUMAN
P25101	EDNRA_HUMAN
O60883	ETBR2_HUMAN
Q05397	FAK1_HUMAN
Q14289	FAK2_HUMAN
O14842	FFAR1_HUMAN
O14843	FFAR3_HUMAN
Q5NUL3	FFAR4_HUMAN
P25090	FPR2_HUMAN
P21462	FPR1_HUMAN
P25089	FPR3_HUMAN
P23945	FSHR_HUMAN
Q9ULW2	FZD10_HUMAN
Q9UP38	FZD1_HUMAN
Q14332	FZD2_HUMAN
Q9NPG1	FZD3_HUMAN
Q9ULV1	FZD4_HUMAN
Q13467	FZD5_HUMAN
O60353	FZD6_HUMAN
Q9H461	FZD8_HUMAN
O00144	FZD9_HUMAN
O75084	FZD7_HUMAN
Q9UBS5	GABR1_HUMAN
O75899	GABR2_HUMAN
P47211	GALR1_HUMAN
O43603	GALR2_HUMAN
O60755	GALR3_HUMAN
P32239	GASR_HUMAN
Q92538	GBF1_HUMAN
Q02643	GHRHR_HUMAN
Q92847	GHSR_HUMAN
P43220	GLP1R_HUMAN
O95838	GLP2R_HUMAN
P47871	GLR_HUMAN
Q14344	GNA13_HUMAN
P63092	GNAS2_HUMAN
P30968	GNRHR_HUMAN
Q96P88	GNRR2_HUMAN
Q96P66	GP101_HUMAN
Q8TDV5	GP119_HUMAN
Q96PE1	GP124_HUMAN
Q9UNW8	GP132_HUMAN
Q8IZ08	GP135_HUMAN
Q86SQ4	GP126_HUMAN
Q7Z602	GP141_HUMAN
Q7Z601	GP142_HUMAN
P51810	GP143_HUMAN
Q96CH1	GP146_HUMAN
Q6DWJ6	GP139_HUMAN
Q86SP6	GP149_HUMAN
Q8NGU9	GP150_HUMAN
Q8TDT2	GP152_HUMAN
Q6NV75	GP153_HUMAN
Q5UAW9	GP157_HUMAN
Q8NFN8	GP156_HUMAN
Q5T848	GP158_HUMAN
Q8N6U8	GP161_HUMAN
O14626	GP171_HUMAN
Q9NS66	GP173_HUMAN
Q16538	GP162_HUMAN
Q6PRD1	GP179_HUMAN
Q14439	GP176_HUMAN
P32249	GP183_HUMAN
