ran , mean , std , var
(-20, -18) , 14.61 , 2.840404900713981 , 8.0679
(-18, -16) , 9.07 , 2.192053831455788 , 4.8050999999999995
(-16, -14) , 6.81 , 1.6982049346295045 , 2.8838999999999997
(-14, -12) , 5.055 , 1.715218644954631 , 2.9419750000000007
(-12, -10) , 3.38 , 1.343726162579266 , 1.8056
(-10, -8) , 2.07 , 0.9566085928947116 , 0.9150999999999999
(-8, -6) , 1.75 , 0.82915619758885 , 0.6875
(-6, -4) , 1.575 , 0.8027297179001162 , 0.644375
(-4, -2) , 1.595 , 0.7489826433235953 , 0.560975
(-2, 0) , 1.555 , 0.7661429370554819 , 0.586975
(0, 2) , 2.555 , 0.941793501782636 , 0.886975
(2, 4) , 1.905 , 0.86369844274492 , 0.7459749999999999
(4, 6) , 1.94 , 0.8101851640211637 , 0.6563999999999999
(6, 8) , 1.29 , 0.7783957862167549 , 0.6059
(8, 10) , 0.95 , 0.6304760106459246 , 0.3975000000000001
(10, 12) , 0.885 , 0.6868587918924821 , 0.4717750000000001
(12, 14) , 1.8 , 0.8185352771872451 , 0.67
(14, 16) , 2.535 , 1.0948858387978173 , 1.198775
(16, 18) , 6.5 , 1.7204650534085253 , 2.96
(18, 20) , 12.36 , 2.2450835173774712 , 5.040399999999999
